timestep,start_lane,end_lane
8:41,17,18
8:42,4,14
8:42,5,13
8:47,17,18
8:48,12,13
8:49,9,2
8:49,11,18
8:49,10,19
8:52,22,7
8:52,21,8
8:53,5,13
8:58,16,2
8:58,4,14
8:59,15,8
9:01,3,18
9:01,5,13
9:06,21,8
9:06,20,14
9:08,22,7
9:12,11,18
9:12,9,2
9:14,10,19
9:15,4,14
9:17,16,2
9:17,15,8
9:18,17,1
9:23,11,18
9:23,22,7
9:23,21,8
9:23,20,14
9:28,4,14
9:28,3,14
9:32,12,13
9:33,17,1
9:35,16,2
9:36,10,19
9:36,12,13
9:39,11,18
9:39,22,7
9:39,21,8
9:43,15,8
9:45,17,18
9:45,16,2
9:45,4,14
9:45,5,13
9:50,4,14
9:52,11,18
9:52,10,19
9:53,21,8
9:54,22,7
9:55,12,13
9:58,16,2
9:59,17,1
9:59,4,14
9:59,15,8
9:59,6,7
10:06,20,14
10:08,21,8
10:08,22,7
10:09,10,19
10:12,6,7
10:16,17,1
10:16,16,2
10:16,15,8
10:19,5,13
10:20,4,14
10:21,3,19
10:23,22,7
10:24,21,8
10:28,11,18
10:28,10,19
10:32,22,7
10:34,15,8
10:38,17,1
10:38,16,2
10:38,5,13
10:38,4,14
10:41,3,18
10:41,6,7
10:44,22,1
10:44,21,8
10:44,20,14
10:45,10,19
10:45,6,7
10:47,11,18
10:47,9,2
10:49,6,7
10:54,17,1
10:54,16,2
10:54,15,8
10:58,4,14
10:59,3,19
11:02,22,7
11:02,21,8
11:02,20,14
11:07,10,19
11:08,11,18
11:14,16,2
11:15,15,8
11:16,17,1
11:18,5,13
11:18,4,14
11:18,3,19
11:22,22,7
11:22,21,8
11:22,20,14
11:25,10,19
11:27,11,18
11:27,10,19
11:33,16,2
11:33,15,8
11:34,4,14
11:35,17,1
11:38,5,13
11:38,3,18
11:41,22,1
11:41,21,8
11:44,20,14
11:45,10,19
11:46,12,13
11:46,11,18
11:48,4,14
11:49,5,13
11:51,17,1
11:51,16,2
11:51,15,8
11:56,20,14
11:57,22,7
11:59,21,8
12:01,10,19
12:02,11,18
12:05,5,13
12:08,17,1
12:08,16,2
12:08,15,8
12:14,20,14
12:21,9,19
12:24,3,18
12:26,11,18
12:26,10,19
12:26,6,7
12:29,21,8
12:29,22,7
12:34,10,19
12:35,6,7
12:38,4,14
12:39,17,1
12:41,16,2
12:42,3,18
12:42,15,8
12:45,22,7
12:46,21,8
12:47,11,18
12:47,10,19
12:50,20,14
12:55,17,1
12:55,16,2
12:56,4,14
12:57,5,13
13:01,15,8
13:05,11,18
13:08,10,19
13:10,21,8
13:11,22,7
13:12,9,18
13:13,20,14
13:15,17,1
13:17,4,14
13:17,5,13
13:19,6,7
13:19,16,2
13:21,15,8
13:23,11,18
13:23,12,13
13:24,22,7
13:24,21,8
13:24,10,19
13:26,22,1
13:31,4,14
13:31,5,13
13:33,17,1
13:34,15,8
13:35,16,2
13:36,11,18
13:36,10,19
13:39,6,7
13:39,22,7
13:40,21,8
13:43,16,2
13:44,4,14
13:44,17,1
13:45,15,8
13:50,22,1
13:50,21,8
13:51,11,18
13:51,10,19
13:54,9,2
13:56,16,2
13:56,17,1
13:58,5,13
13:58,4,14
14:01,3,18
14:02,12,13
14:03,22,7
14:03,21,8
14:04,11,18
14:04,10,19
14:11,16,2
14:11,17,1
14:13,15,8
14:17,4,14
14:17,5,13
14:20,9,2
14:21,10,19
14:21,11,18
14:23,22,7
14:23,21,8
14:28,17,1
14:28,16,2
14:28,15,8
14:30,4,14
14:30,12,13
14:33,5,13
14:35,22,7
14:36,21,8
14:37,22,7
14:38,12,13
14:40,11,18
14:40,10,19
14:43,11,18
14:45,4,14
14:46,5,13
14:48,16,2
14:48,3,18
14:49,17,18
14:50,15,8
14:54,11,18
14:54,22,1
14:54,21,8
14:55,10,19
14:56,5,13
14:57,3,18
14:58,22,1
15:01,4,14
15:01,6,7
15:03,6,7
15:05,16,2
15:05,17,1
15:07,10,19
15:07,11,18
15:11,21,8
15:11,22,7
15:12,12,13
15:14,3,18
15:16,17,18
15:20,16,2
15:21,17,1
15:23,4,14
15:24,12,13
15:24,10,19
15:24,11,18
15:26,22,7
15:27,21,8
15:29,11,18
15:29,12,13
15:32,4,14
15:33,17,1
15:33,3,18
15:35,16,2
15:35,15,8
15:36,16,2
15:40,22,7
15:40,21,8
15:44,20,14
15:46,12,13
15:48,11,18
15:49,10,19
15:49,4,14
15:52,4,14
15:52,6,7
15:54,17,1
15:54,12,13
15:56,16,2
15:56,17,1
15:57,17,1
15:57,22,7
16:01,21,8
16:02,11,18
16:02,10,19
16:06,10,19
16:08,11,18
16:07,3,18
16:11,15,8
16:12,4,14
16:14,5,13
16:14,3,18
16:15,16,2
16:15,17,1
16:17,17,18
16:22,10,19
16:22,22,7
16:22,21,8
16:23,20,14
16:25,6,7
16:27,20,14
16:28,12,13
16:28,11,18
16:29,21,8
16:30,20,14
16:30,22,7
16:30,4,14
16:33,17,1
16:33,16,2
16:33,5,13
16:33,3,18
16:34,15,8
16:35,6,7
16:39,12,13
16:41,22,7
16:41,21,8
16:42,11,18
16:42,10,19
16:47,9,2
16:47,20,14
16:49,20,14
16:52,15,8
16:52,16,2
16:52,3,18
16:52,17,1
16:57,10,19
16:59,11,18
17:02,22,7
17:02,21,8
17:04,17,1
17:04,16,2
17:04,3,18
17:05,4,14
17:06,15,8
17:06,6,7
17:09,22,7
17:12,21,8
17:12,11,18
17:12,10,19
17:14,9,2
17:18,17,1
17:18,16,2
17:21,3,18
17:24,11,18
17:24,22,7
17:24,21,8
17:26,10,19
17:30,17,18
17:30,20,14
17:32,17,1
17:33,4,14
17:33,6,7
17:37,17,18
17:37,21,8
17:38,11,18
17:38,10,19
17:38,22,7
17:41,20,14
17:43,11,18
17:46,16,2
17:46,4,14
17:51,12,13
17:51,10,19
17:52,6,7
17:53,22,7
17:53,21,8
17:53,20,14
17:55,17,18
17:59,17,1
18:01,5,13
18:01,16,2
18:02,4,14
18:04,4,14
18:05,12,13
18:06,22,7
18:06,21,8
18:08,20,14
18:09,11,18
18:09,10,19
18:12,16,2
18:17,4,14
18:17,5,13
18:19,3,18
18:19,17,1
18:21,16,2
18:26,22,7
18:26,21,8
18:26,20,14
18:28,11,18
18:28,10,19
18:31,4,14
18:32,3,18
18:32,11,18
