timestep,start_lane,end_lane
8:02,4,13
8:03,22,1
8:04,15,2
8:04,16,1
8:05,5,12
8:06,17,18
8:08,14,8
8:10,17,18
8:10,20,13
8:11,11,18
8:14,22,7
8:15,21,8
8:17,4,13
8:17,10,19
8:18,17,18
8:18,5,12
8:21,16,1
8:21,15,2
8:23,5,12
8:24,17,18
8:26,21,8
8:26,20,13
8:27,22,7
8:27,10,19
8:27,11,18
8:32,22,7
8:32,21,8
8:34,17,18
8:34,16,1
8:34,15,2
8:38,11,18
8:40,10,19
8:40,21,8
8:40,22,7
8:43,17,18
8:43,15,2
8:44,5,12
8:45,16,1
8:46,17,18
8:50,21,8
8:50,22,1
8:52,20,13
8:53,11,18
8:53,17,18
8:55,10,19
8:57,21,8
8:57,22,7
8:59,17,18
8:59,15,2
9:01,16,1
9:03,5,12
9:04,4,13
9:08,10,19
9:08,11,18
9:08,21,8
9:08,22,7
9:13,17,18
9:13,16,1
9:14,14,8
9:15,15,2
9:17,5,12
9:18,4,13
9:20,10,19
9:22,21,8
9:22,22,1
9:22,20,13
9:23,11,18
9:25,22,1
9:28,16,1
9:29,15,2
9:28,4,13
9:30,16,1
9:30,5,12
9:33,10,19
9:34,11,18
9:36,21,8
9:36,22,7
9:40,5,12
9:41,4,13
9:43,16,1
9:45,10,19
9:47,11,18
9:51,21,8
9:51,22,7
9:55,4,13
9:55,5,12
9:56,3,19
9:58,14,8
9:59,11,12
9:59,15,2
9:59,14,8
10:01,17,18
10:01,16,1
10:03,10,19
10:04,17,18
10:05,21,8
10:09,22,7
10:11,3,19
10:13,5,12
10:14,4,13
10:16,17,18
10:17,16,1
10:19,11,12
10:19,14,8
10:23,22,1
10:23,21,8
10:25,10,19
10:25,11,18
10:26,22,7
10:27,3,19
10:28,4,13
10:30,5,12
10:33,17,18
10:34,16,1
10:34,15,2
10:35,17,18
10:36,11,18
10:39,10,19
10:39,17,18
10:39,21,8
10:40,22,7
10:40,9,19
10:44,4,13
10:46,17,18
10:46,5,12
10:46,3,19
10:49,6,7
10:51,17,18
10:51,16,1
10:51,5,12
10:52,15,2
10:53,5,12
10:55,17,18
10:55,5,12
10:57,10,19
10:57,22,7
10:57,14,8
10:58,11,12
10:58,17,18
10:59,20,13
11:01,21,8
11:02,3,19
11:02,4,13
11:02,9,2
11:05,17,18
11:05,16,1
11:07,15,2
11:09,17,18
11:14,14,8
11:15,22,7
11:15,21,8
11:16,10,19
11:18,11,18
11:19,3,19
11:20,4,13
11:22,17,18
11:23,16,1
11:26,15,2
11:27,10,19
11:27,15,2
11:27,14,8
11:28,11,18
11:29,21,8
11:29,22,7
11:32,4,13
11:33,5,12
11:33,3,19
11:35,3,19
11:37,14,8
11:44,11,18
11:45,21,8
11:45,22,7
11:45,10,19
11:48,16,1
11:48,14,8
11:50,4,13
11:51,15,2
11:51,5,12
11:55,3,19
11:57,10,19
11:58,11,18
12:01,21,8
12:01,22,7
12:05,16,1
12:05,14,8
12:05,4,13
12:06,5,12
12:10,3,19
12:12,11,12
12:15,10,19
12:15,21,8
12:15,22,7
12:16,11,18
12:18,4,13
12:19,3,19
12:20,17,18
12:21,16,1
12:21,15,2
12:21,5,12
12:21,3,19
12:25,14,8
12:25,17,18
12:29,22,7
12:30,20,13
12:30,21,8
12:31,10,19
12:32,11,18
12:37,5,12
12:38,17,18
12:38,4,13
12:40,3,19
12:47,17,18
12:48,22,7
12:48,21,8
12:51,20,13
12:51,17,18
12:53,4,13
12:54,16,1
12:55,5,12
12:56,15,2
13:01,21,8
13:01,22,1
13:01,10,19
13:01,11,18
13:04,11,18
13:05,3,19
13:08,17,18
13:09,16,1
13:09,5,12
13:10,4,13
13:11,14,8
13:18,10,19
13:19,11,18
13:21,21,8
13:21,22,7
13:21,20,13
13:24,22,7
13:26,3,19
13:27,5,12
13:30,14,8
13:32,16,1
13:33,11,18
13:34,17,18
13:35,10,19
13:37,22,7
13:39,21,8
13:39,20,13
13:45,14,8
13:45,3,19
13:48,10,19
13:49,11,18
13:52,21,8
13:53,22,1
13:55,17,18
13:56,20,13
13:57,3,19
14:02,17,18
14:02,16,1
14:02,15,2
14:02,4,13
14:04,5,7
14:05,10,19
14:05,11,18
14:06,22,7
14:06,21,8
14:08,3,19
14:09,5,12
14:10,17,18
14:10,4,13
14:10,11,12
14:13,16,1
14:18,17,18
14:10,15,2
14:14,16,1
14:18,15,2
14:19,17,18
14:20,14,8
14:22,10,19
14:23,9,2
14:23,22,7
14:23,21,8
14:25,11,18
14:29,4,13
14:29,5,12
14:31,17,18
14:31,15,2
14:31,3,19
14:33,16,1
14:37,10,19
14:37,9,2
14:39,22,7
14:40,21,8
14:41,17,18
14:42,11,12
14:44,16,1
14:46,15,2
14:47,17,18
14:48,3,19
14:48,5,12
14:48,4,13
14:52,22,7
14:53,10,19
14:53,11,12
14:54,21,8
14:56,11,18
15:01,17,18
15:01,16,1
15:01,5,12
15:03,15,2
15:03,4,13
15:05,3,19
15:06,11,12
15:08,22,1
15:09,10,19
15:12,21,8
15:14,16,1
15:14,17,18
15:15,3,19
15:16,5,12
15:20,11,18
15:22,10,19
15:24,17,18
15:24,21,8
15:26,20,13
15:28,17,18
15:28,16,1
15:29,3,19
15:29,5,12
15:31,22,7
15:33,21,8
15:36,10,19
15:36,11,18
15:38,17,18
15:40,16,1
15:40,20,13
15:41,3,19
15:43,4,13
15:45,5,12
15:50,11,12
15:50,21,8
15:50,22,7
15:51,10,19
15:53,16,1
15:56,14,8
15:56,15,2
15:56,17,18
16:01,3,19
16:01,5,12
16:03,21,8
16:03,22,7
16:06,10,19
16:06,11,18
16:11,16,1
16:12,17,18
16:12,14,8
16:12,15,2
16:14,5,12
16:19,21,8
16:19,22,7
16:20,10,19
16:21,11,18
16:21,20,13
16:26,16,1
16:26,15,2
16:29,14,8
16:32,3,19
16:32,4,13
16:33,5,12
16:35,10,19
16:36,9,2
16:36,22,7
16:37,21,8
16:38,11,12
16:41,3,19
16:41,5,12
16:42,17,18
16:43,4,13
16:45,16,1
16:45,15,2
16:46,4,13
16:46,16,1
16:49,11,12
16:50,10,19
16:50,9,2
16:50,21,8
16:50,22,7
16:54,17,18
16:57,16,1
16:57,15,2
16:59,5,12
17:01,5,12
17:01,4,13
17:01,3,19
17:03,5,12
17:05,22,7
17:06,21,8
17:08,20,13
17:09,17,18
17:11,11,12
17:15,10,19
17:16,11,18
17:16,9,2
17:18,11,12
17:21,17,18
17:21,16,1
17:21,15,2
17:21,14,8
17:22,3,19
