step,veh_id,route_id,start_lane,end_lane
1841,veh_1841_1,route_20_13,20,13
1842,veh_1842_1,route_17_18,17,18
1843,veh_1843_1,route_16_1,16,1
1845,veh_1845_1,route_15_2,15,2
1847,veh_1847_1,route_4_13,4,13
1848,veh_1848_1,route_11_18,11,18
1848,veh_1848_2,route_10_19,10,19
1850,veh_1850_1,route_21_8,21,8
1850,veh_1850_2,route_22_7,22,7
1851,veh_1851_1,route_20_13,20,13
1854,veh_1854_1,route_17_18,17,18
1856,veh_1856_1,route_4_13,4,13
1856,veh_1856_2,route_5_12,5,12
1857,veh_1857_1,route_16_1,16,1
1861,veh_1861_1,route_10_19,10,19
1861,veh_1861_2,route_21_8,21,8
1862,veh_1862_1,route_22_7,22,7
1864,veh_1864_1,route_11_18,11,18
1867,veh_1867_1,route_17_18,17,18
1867,veh_1867_2,route_20_13,20,13
1871,veh_1871_1,route_16_1,16,1
1872,veh_1872_1,route_17_18,17,18
1874,veh_1874_1,route_14_7,14,7
1875,veh_1875_1,route_4_13,4,13
1877,veh_1877_1,route_17_18,17,18
1877,veh_1877_2,route_5_12,5,12
1880,veh_1880_1,route_21_8,21,8
1881,veh_1881_1,route_11_12,11,12
1881,veh_1881_2,route_10_19,10,19
1882,veh_1882_1,route_22_7,22,7
1885,veh_1885_1,route_16_1,16,1
1887,veh_1887_1,route_17_18,17,18
1887,veh_1887_2,route_14_7,14,7
1891,veh_1891_1,route_21_8,21,8
1892,veh_1892_1,route_22_1,22,1
1893,veh_1893_1,route_11_18,11,18
1893,veh_1893_2,route_10_19,10,19
1896,veh_1896_1,route_22_2,22,2
1897,veh_1897_1,route_16_1,16,1
1898,veh_1898_1,route_14_7,14,7
1899,veh_1899_1,route_17_18,17,18
1901,veh_1901_1,route_10_19,10,19
1902,veh_1902_1,route_11_18,11,18
1903,veh_1903_1,route_21_8,21,8
1904,veh_1904_1,route_22_7,22,7
1907,veh_1907_1,route_16_1,16,1
1909,veh_1909_1,route_10_19,10,19
1910,veh_1910_1,route_11_18,11,18
1912,veh_1912_1,route_21_8,21,8
1912,veh_1912_2,route_22_7,22,7
1916,veh_1916_1,route_16_1,16,1
1917,veh_1917_1,route_5_12,5,12
1921,veh_1921_1,route_22_7,22,7
1921,veh_1921_2,route_10_19,10,19
1921,veh_1921_3,route_11_12,11,12
1923,veh_1923_1,route_21_8,21,8
1925,veh_1925_1,route_20_13,20,13
1926,veh_1926_1,route_22_1,22,1
1927,veh_1927_1,route_5_12,5,12
1929,veh_1929_1,route_4_13,4,13
1932,veh_1932_1,route_21_8,21,8
1932,veh_1932_2,route_10_19,10,19
1932,veh_1932_3,route_11_18,11,18
1937,veh_1937_1,route_14_7,14,7
1940,veh_1940_1,route_4_13,4,13
1941,veh_1941_1,route_5_12,5,12
1941,veh_1941_2,route_3_18,3,18
1944,veh_1944_1,route_10_19,10,19
1944,veh_1944_2,route_11_18,11,18
1945,veh_1945_1,route_21_8,21,8
1945,veh_1945_2,route_22_7,22,7
1948,veh_1948_1,route_10_19,10,19
1949,veh_1949_1,route_4_13,4,13
1951,veh_1951_1,route_5_12,5,12
1952,veh_1952_1,route_16_1,16,1
